CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Courtyard By Marriott Miami Airport|MSB|0011I00000cJXVUQA4|MIACS|a1W1I000000aWcHUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Montgomery|MSB||MGMFI|a1W1I000000aWdWUAU|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Fairfield Inn & Suites Mt. Laurel|MSB|0011I00000cJXheQAG|PHLFM|a1W1I000000aWdXUAU|F|Fairfield Inn & Suites|NALO|East|0011I000019VrEaQAK|0011I000019VrEaQAK||Open||
Courtyard By Marriott New Carrollton Landover|MSB|0011I00000cJXVUQA4|WASLD|a1W1I000000aWcIUAU|M|Courtyard By Marriott|NALO|East||0011I00000yIz9HQAS||Open||
Courtyard By Marriott New York LaGuardia Airport|MSB||LGACA|a1W1I000000aWcJUAU|F|Courtyard By Marriott|NALO|East||||Deflagged||
Courtyard By Marriott Indianapolis Carmel|MSB|0011I00000cJXVUQA4|INDCM|a1W1I000000aWcgUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJSNyQAO||Deflagged||
Residence Inn By Marriott Santa Clarita Chatsworth|MSB|0011I00000cJXsyQAG|LAXRT|a1W1I000000aWdYUAU|F|Residence Inn By Marriott|NALO|West|0011I00000cJXsyQAG|0011I00000cJXsyQAG||Pre-Opening||
Muscatine|MSB||MLIFI|a1W1I000000aWdZUAU|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Residence Inn By Marriott Newark Silicon Valley|MSB|0011I00000cJXqsQAG|SJCNW|a1W1I000000aWdzUAE|F|Residence Inn By Marriott|NALO|West|0011I00000cJWMKQA4|0011I00000cJWMKQA4||Open||
Courtyard By Marriott Niagara Falls|MSB|0011I00000cJXUZQA4|IAGCY|a1W1I000000aWcKUAU|F|Courtyard By Marriott|NALO|Canada|0011I00000cJXUZQA4|0011I00000cJXUZQA4||Open||
Courtyard By Marriott Lincroft Red Bank|MSB|0011I00000cJXVUQA4|EWRRB|a1W1I000000aWchUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJWOMQA4||Open||
TownePlace Suites By Marriott Richmond|MSB|0011I00000cJXVUQA4|RICTS|a1W1I000000aWciUAE|M|TownePlace Suites By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Nashua Merrimack|MSB||MHTFI|a1W1I000000aWdaUAE|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Port Clinton|MSB||TOLPC|a1W1I000000aWdbUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Courtyard By Marriott Philadelphia Plymouth Meeting|MSB|0011I00000cJXVUQA4|PHLCY|a1W1I000000aWbpUAE|M|Courtyard By Marriott|NALO|East||0011I00000yIz9HQAS||Open||
Courtyard By Marriott Philadelphia Valley Forge/King of Prussia|MSB|0011I00000cJXVUQA4|PHLVA|a1W1I000000aWbqUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Courtyard By Marriott Syracuse Carrier Circle|MSB|0011I00000cJXVUQA4|SYRCA|a1W1I000000aWbxUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Open||
Courtyard By Marriott Boone|MSB|0011I00000cJXlhQAG|HKYBN|a1W1I000000aWcLUAU|F|Courtyard By Marriott|NALO|East|0011I00000cJXlhQAG|0011I00000cJXlhQAG||Open||
Courtyard By Marriott Norwalk|MSB|0011I00000cJXVUQA4|HPNNW|a1W1I000000aWcMUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJWOMQA4||Open||
Courtyard By Marriott Irvine John Wayne Airport/Orange County|MSB|0011I00000cJXVUQA4|LAXCH|a1W1I000000aWcjUAE|L|Courtyard By Marriott|NALO|West||0011I00000cJXVBQA4||Open||
Courtyard By Marriott Philadelphia Willow Grove|MSB|0011I00000cJXVUQA4|PHLWG|a1W1I000000aWd5UAE|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Open||
TownePlace Suites By Marriott Houston Westchase|MSB|0011I00000cJXbfQAG|HOUTE|a1W1I000000aWd6UAE|F|TownePlace Suites By Marriott|NALO|West|0011I00000cJXbfQAG|0011I00000cJXbfQAG||Open||
Savannah Midtown|MSB||SAVFI|a1W1I000000aWdcUAE|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Courtyard by Marriott Bilaspur|MSB|0011I00000cJSKkQAO|PABCY|a1W1I000000aWddUAE|M|Courtyard By Marriott|INTL|APEC||0011I00000cJXosQAG||Open||
Courtyard By Marriott Phoenix Airport|MSB|0011I00000cJXVUQA4|PHXCA|a1W1I000000aWbrUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJXhhQAG||Open||
Courtyard By Marriott Basking Ridge|MSB|0011I00000cJXVUQA4|SOSSM|a1W1I000000aWbsUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJWMKQA4||Open||
Courtyard By Marriott Tallahassee Downtown/Capitol|MSB|0011I00000cJXVUQA4|TLHCH|a1W1I000000aWbyUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Courtyard By Marriott Phoenix Chandler|MSB|0011I00000cJXVUQA4|PHXCL|a1W1I000000aWbzUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Oakland Airport|MSB|0011I00000cJXqsQAG|OAKAP|a1W1I000000aWcNUAU|F|Courtyard By Marriott|NALO|West|0011I00000cJWMKQA4|0011I00000cJWMKQA4||Open||
Courtyard By Marriott Oakland Downtown|MSB|0011I00000cJXqOQAW|OAKCD|a1W1I000000aWcOUAU|F|Courtyard By Marriott|NALO|West|0011I00000cJXqfQAG|0011I00000cJXqfQAG||Open||
Fairfield Inn By Marriott Hudson|MSB||MSPHU|a1W1I000000aWckUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Kokomo|MSB||OKKKO|a1W1I000000aWclUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Courtyard By Marriott Boston Stoughton|MSB|0011I00000cJXVUQA4|BOSST|a1W1I000000aWd7UAE|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Orlando International Drive|MSB||MCOSL|a1W1I000000aWd8UAE|F|Fairfield Inn & Suites|NALO|East||||Deflagged||
MHR  Montreal Dorval Airport Canada|FS|||a1W1I000000aWdlUAE|F|Marriott Hotels & Resorts|NALO|Canada||0011I00000cJXnbQAG||Cancelled||
Ottumwa|MSB||OTMFI|a1W1I000000aWdmUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Palm Desert|MSB||CTDFI|a1W1I000000aWdnUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Philadelphia Bensalem|MSB||PHLBS|a1W1I000000aWbtUAE|F|Courtyard By Marriott|NALO|East||||Deflagged||
Courtyard By Marriott Las Vegas Summerlin|MSB|0011I00000cJXVUQA4|LASNW|a1W1I000000aWbuUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Pleasant Hill|MSB|0011I00000cJXVUQA4|OAKCP|a1W1I000000aWc0UAE|M|Courtyard By Marriott|NALO|West||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Rockville|MSB|0011I00000cJXVUQA4|WASRV|a1W1I000000aWc1UAE|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Gainesville|MSB||GNVFI|a1W1I000000aWcmUAE|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Courtyard By Marriott Anaheim Buena Park|MSB|0011I00000cJXVUQA4|SNABP|a1W1I000000aWcnUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJXhhQAG||Open||
Atlanta at Six Flags|MSB||ATLSF|a1W1I000000aWd9UAE|F|Fairfield Inn & Suites|NALO|East||||Deflagged||
Courtyard By Marriott Boston Woburn/Burlington|MSB|0011I00000cJXVUQA4|BOSWB|a1W1I000000aWdAUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Phoenix Camelback|MSB|0011I00000cJXVUQA4|PHXCC|a1W1I000000aWbvUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Phoenix Mesa|MSB|0011I00000cJXVUQA4|PHXME|a1W1I000000aWbwUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Courtyard By Marriott Savannah Downtown/Historic District|MSB|0011I00000cJXr9QAG|SAVDT|a1W1I000000aWc2UAE|F|Courtyard By Marriott|NALO|East|0011I00000cJXr9QAG|0011I00000cJXr9QAG||Open||
Courtyard By Marriott Savannah Midtown|MSB|0011I00000cJXVUQA4|SAVCH|a1W1I000000aWc3UAE|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Courtyard By Marriott Oklahoma City Northwest|MSB|0011I00000cJXVUQA4|OKCNW|a1W1I000000aWcPUAU|M|Courtyard By Marriott|NALO|West||0011I00000cJSNyQAO||Open||
Minneapolis Marriott Northwest|FS|0011I00000cJXqOQAW|MSPNW|a1W1I000000aWcQUAU|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJXk5QAG|0011I00000cJXk5QAG||Open||
Flint Lapeer|MSB||FNTFI|a1W1I000000aWcoUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Fairfield Inn By Marriott Duluth|MSB||DLHFI|a1W1I000000aWcpUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Courtyard By Marriott Columbus Worthington|MSB|0011I00000cJXnIQAW|CMHCW|a1W1I000000aWdBUAU|F|Courtyard By Marriott|NALO|West|0011I00000yIBt1QAG|0011I00000yIBt1QAG||Open||
Fairfield Inn & Suites Atlanta Kennesaw|MSB|0011I00000cJXqsQAG|ATLNC|a1W1I000000aWdCUAU|F|Fairfield Inn & Suites|NALO|East|0011I00000cJWMKQA4|0011I00000cJWMKQA4||Open||
Courtyard By Marriott Charlotte SouthPark|MSB|0011I00000cJXVUQA4|CLTEX|a1W1I000000aWdoUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJWOMQA4||Open||
Courtyard By Marriott Scottsdale Old Town|MSB|0011I00000cJXVUQA4|PHXSC|a1W1I000000aWc4UAE|M|Courtyard By Marriott|NALO|West||0011I00000cJWMKQA4||Open||
Courtyard By Marriott Orlando Airport|MSB|0011I00000cJXVUQA4|MCOCH|a1W1I000000aWcRUAU|L|Courtyard By Marriott|NALO|East||0011I00000cJXVBQA4||Open||
Marriott's Maui Ocean Club|FS|0011I00000cJXVUQA4||a1W1I000000aWcSUAU|M|Marriott Hotels & Resorts|NALO|West||0011I00000cJSLcQAO||Cancelled||
Fairfield Inn By Marriott Salt Lake City Layton|MSB|0011I00000jMFaLQAW|SLCLY|a1W1I000000aWcrUAE|F|Fairfield Inn By Marriott|NALO|West|0011I00000cJXf2QAG|0011I00000cJXf2QAG||Open||
Bowling Green|MSB||BWGFI|a1W1I000000aWdDUAU|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Fairfield Inn By Marriott Bozeman|MSB||BZNFI|a1W1I000000aWdEUAU|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Seattle Marriott Waterfront|FS|0011I00000cJXVUQA4|SEAWF|a1W1I000000aWdpUAE|M|Marriott Hotels & Resorts|NALO|West||0011I00000cJWMKQA4||Open||
Residence Inn By Marriott Boston Harbor on Tudor Wharf|MSB|0011I00000cJXlmQAG|BOSTW|a1W1I000000aWdqUAE|F|Residence Inn By Marriott|NALO|East|0011I00000cJXlmQAG|0011I00000cJXlmQAG||Open||
Residence Inn By Marriott Boston Back Bay/Fenway|MSB|0011I00000cJXUtQAO|BOSFN|a1W1I000000aWc5UAE|F|Residence Inn By Marriott|NALO|East|0011I00000cJXpAQAW|0011I00000cJXpAQAW||Open||
Courtyard By Marriott Pleasanton|MSB|0011I00000cJXVUQA4|OAKPL|a1W1I000000aWc6UAE|M|Courtyard By Marriott|NALO|West||0011I00000cJXhhQAG||Open||
Montgomery|MSB||MGMTS|a1W1I000000aWcTUAU|F|TownePlace Suites By Marriott|NALO|East||||Deflagged||
Courtyard By Marriott Houston Hobby Airport|MSB|0011I00000cJXVUQA4|HOUHB|a1W1I000000aWcUUAU|M|Courtyard By Marriott|NALO|West||0011I00000cJSNyQAO||Open||
Courtyard By Marriott Myrtle Beach Broadway|MSB|0011I00000cJXVUQA4|MYRCY|a1W1I000000aWcqUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJXuyQAG||Open||
Fairfield Inn & Suites Brookings|MSB||BKXFI|a1W1I000000aWdFUAU|F|Fairfield Inn & Suites|NALO|West||||Deflagged||
Atlantic City North|MSB||AIYFI|a1W1I000000aWdGUAU|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Residence Inn By Marriott Baltimore White Marsh|MSB|0011I00000cJXqOQAW|BWIWM|a1W1I000000aWdrUAE|F|Residence Inn By Marriott|NALO|East|0011I00000cJXhkQAG|0011I00000cJXhkQAG||Open||
Courtyard By Marriott Atlanta Executive Park/Emory|MSB|0011I00000cJXVUQA4|ATLEP|a1W1I000000aWcVUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Courtyard By Marriott San Francisco Larkspur Landing/Marin County|MSB|0011I00000cJXVUQA4|SFOLL|a1W1I000000aWcWUAU|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Medford|MSB||MFRFI|a1W1I000000aWcsUAE|F|Fairfield Inn & Suites|NALO|West||||Deflagged||
Fairfield Inn By Marriott Appleton|MSB||ATWFI|a1W1I000000aWctUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Courtyard By Marriott Birmingham Homewood|MSB|0011I00000cJXVUQA4|BHMHW|a1W1I000000aWdHUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJWOMQA4||Open||
Weslaco|MSB||MFEFW|a1W1I000000aWdIUAU|F|Fairfield Inn & Suites|NALO|West||||Deflagged||
Residence Inn By Marriott Arundel Mills BWI Airport|MSB|0011I00000cJXqOQAW|BWIAM|a1W1I000000aWdsUAE|F|Residence Inn By Marriott|NALO|East|0011I00000cJXhkQAG|0011I00000cJXhkQAG||Open||
The Duke Hotel Newport Beach|Other||.|a1W1I000000aWdtUAE|F|Independent|NALO|West||||Deflagged||
Courtyard By Marriott Portland Airport|MSB|0011I00000cJXnmQAG|PDXCA|a1W1I000000aWc7UAE|F|Courtyard By Marriott|NALO|West|0011I00000cJXnmQAG|0011I00000cJXnmQAG||Open||
Courtyard By Marriott Dallas Las Colinas|MSB|0011I00000cJXVUQA4|DALLA|a1W1I000000aWcXUAU|M|Courtyard By Marriott|NALO|West||0011I00000cJXhhQAG||Open||
Birmingham Inverness|MSB||BHMFI|a1W1I000000aWcuUAE|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Fairfield Inn & Suites Charlottesville North|MSB|0011I00000cJXnSQAW|CHOFI|a1W1I000000aWcvUAE|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXnSQAW|0011I00000cJXnSQAW||Open||
Fairfield Inn By Marriott Bay City|MSB||MBSBC|a1W1I000000aWdJUAU|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Roanoke South|MSB|0011I00000cJXcXQAW||a1W1I000000aWdKUAU|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXcXQAW|0011I00000cJXcXQAW||Cancelled||
Little Rock West|MSB|0011I00000cJXqxQAG||a1W1I000000aWdLUAU|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXqxQAG|0011I00000cJXqxQAG||Cancelled||
Courtyard By Marriott Portland Beaverton|MSB|0011I00000cJXVUQA4|PDXCY|a1W1I000000aWc8UAE|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Courtyard By Marriott Miami Airport West/Doral Area|MSB|0011I00000cJXVUQA4|MIACA|a1W1I000000aWcYUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Courtyard By Marriott Miami Lakes|MSB|0011I00000cJXVUQA4|MIAML|a1W1I000000aWcZUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Chattanooga|MSB||-|a1W1I000000aWcwUAE|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Chicago Glenview/Northbrook|MSB||CHIFG|a1W1I000000aWcxUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Courtyard By Marriott Newark Silicon Valley|MSB|0011I00000cJXqsQAG|SJCFT|a1W1I000000aWdMUAU|F|Courtyard By Marriott|NALO|West|0011I00000cJWMKQA4|0011I00000cJWMKQA4||Open||
Fairfield Inn & Suites Athens I-65|MSB|0011I00000cJXpQQAW|HSVAT|a1W1I000000aWdNUAU|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXpQQAW|0011I00000cJXpQQAW||Open||
Courtyard By Marriott Tampa North/I-75 Fletcher|MSB|0011I00000cJXqOQAW|TPACY|a1W1I000000aWc9UAE|F|Courtyard By Marriott|NALO|East|0011I00000cJXhkQAG|0011I00000cJXhkQAG||Open||
Courtyard By Marriott Tampa Westshore/Airport|MSB|0011I00000cJXVUQA4|TPAWT|a1W1I000000aWcAUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJWOMQA4||Open||
TownePlace Suites By Marriott Newport News Yorktown|MSB|0011I00000cJXVUQA4|PHFTS|a1W1I000000aWcaUAE|M|TownePlace Suites By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Las Vegas Convention Center|MSB|0011I00000cJXVUQA4|LASCH|a1W1I000000aWcbUAE|O|Courtyard By Marriott|NALO|West||0011I00000cJXVUQA4||Open||
Fairfield Inn By Marriott Chicago Gurnee|MSB||CHIGN|a1W1I000000aWcyUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Fairfield Inn By Marriott Syracuse Clay|MSB||SYRNC|a1W1I000000aWczUAE|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Milford|MSB||HVNFM|a1W1I000000aWdOUAU|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Phoenix Airport|MSB||PHXFA|a1W1I000000aWdPUAU|F|Fairfield Inn & Suites|NALO|West||||Deflagged||
Renaissance Boulder FlatIron Hotel|FS|0011I00000cJXmfQAG|DENIR|a1W1I000000aWduUAE|F|Renaissance Hotels & Resorts|NALO|West|0011I00000cJXUWQA4|0011I00000cJXUWQA4||Open||
TPS VA Washington DC Springfield USA|MSB||.|a1W1I000000aWdvUAE|O|TownePlace Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
San Antonio Northwest/Medical Center|MSB||SATTX|a1W1I000000aWdwUAE|F|Residence Inn By Marriott|NALO|West||||Deflagged||
Benton Harbor St. Joseph|MSB||SBNBH|a1W1I000000aWcBUAU|F|Courtyard By Marriott|NALO|West||||Deflagged||
Courtyard By Marriott Baton Rouge Acadian Centre/LSU Area|MSB|0011I00000cJXVUQA4|BTRCH|a1W1I000000aWcCUAU|L|Courtyard By Marriott|NALO|East||0011I00000cJXVBQA4||Open||
Courtyard By Marriott Newport Middletown|MSB|0011I00000cJXVUQA4|PVDMD|a1W1I000000aWccUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Coeur d'Alene|MSB||COECD|a1W1I000000aWd0UAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Courtyard By Marriott Boulder|MSB|0011I00000cJXVUQA4|DENBD|a1W1I000000aWd1UAE|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Phoenix Mesa|MSB||PHXFM|a1W1I000000aWdQUAU|F|Fairfield Inn & Suites|NALO|West||||Deflagged||
Courtyard By Marriott Charlotte University Research Park|MSB|0011I00000cJXVUQA4|CLTUN|a1W1I000000aWdRUAU|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Charlottesville|MSB|0011I00000cJXVUQA4|CHOCH|a1W1I000000aWdeUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJWOMQA4||Open||
Fairfield Inn By Marriott Sioux City|MSB||SUXFI|a1W1I000000aWdfUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Fort Lauderdale Marriott Coral Springs Hotel & Convention Center|FS|0011I00000cJXrGQAW|FLLMC|a1W1I000000aWdxUAE|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXrGQAW|0011I00000cJXrGQAW||Open||
Courtyard By Marriott Sacramento Airport Natomas|MSB|0011I00000cJXVUQA4|SACCH|a1W1I000000aWcDUAU|L|Courtyard By Marriott|NALO|West||0011I00000cJXVBQA4||Open||
Courtyard By Marriott Sacramento Rancho Cordova|MSB|0011I00000cJXVUQA4|SACRC|a1W1I000000aWcEUAU|M|Courtyard By Marriott|NALO|West||0011I00000cJXhhQAG||Open||
Courtyard By Marriott New York Manhattan/Midtown East|MSB|0011I00000cJXpdQAG|NYCME|a1W1I000000aWcdUAE|F|Courtyard By Marriott|NALO|East|0011I00000cJXcpQAG|0011I00000cJXcpQAG||Open||
Fairfield Inn By Marriott Minneapolis Coon Rapids|MSB||MSPCR|a1W1I000000aWd2UAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Seattle Sea-Tac Airport|MSB|0011I00000cJXUzQAO|SEAXR|a1W1I000000aWd3UAE|F|Residence Inn By Marriott|NALO|West|0011I00000cJXUzQAO|0011I00000cJXUzQAO||Cancelled||
Courtyard By Marriott Albuquerque Airport|MSB|0011I00000cJXVUQA4|ABQCA|a1W1I000000aWdSUAU|L|Courtyard By Marriott|NALO|West||0011I00000cJXVBQA4||Open||
Courtyard By Marriott Charlotte Airport North|MSB|0011I00000cJXqOQAW|CLTCA|a1W1I000000aWdTUAU|F|Courtyard By Marriott|NALO|East|0011I00000cJXuyQAG|0011I00000cJXuyQAG||Open||
Fairfield Inn By Marriott Oklahoma City South|MSB||OKCST|a1W1I000000aWdgUAE|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Spartanburg|MSB||SPAFI|a1W1I000000aWdhUAE|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Renaissance Fort Lauderdale-Plantation Hotel|FS|0011I00000cJXmfQAG|FLLRP|a1W1I000000aWdyUAE|F|Renaissance Hotels & Resorts|NALO|East|0011I00000cJXUWQA4|0011I00000cJXUWQA4||Open||
Courtyard By Marriott Seattle Southcenter|MSB|0011I00000cJXVUQA4|SEASC|a1W1I000000aWcFUAU|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Merrillville|MSB||MRVCY|a1W1I000000aWcGUAU|F|Courtyard By Marriott|NALO|West||||Deflagged||
Residence Inn by Marriott Baja California Tijuana/Real del Mar|MSB||TIJRI|a1W1I000000aWb5UAE|F|Residence Inn By Marriott|INTL|CALA||||Deflagged||
TownePlace Suites By Marriott Galveston Island|MSB|0011I00000cJXb9QAG|GLSTS|a1W1I000000aWb6UAE|F|TownePlace Suites By Marriott|NALO|West|0011I00001TFIMDQA5|0011I00001TFIMDQA5||Open||
Residence Inn By Marriott Pasadena Arcadia|MSB|0011I00000cJXVUQA4|BWRAR|a1W1I000000aWbRUAU|M|Residence Inn By Marriott|NALO|West||0011I00000cJXpTQAW||Open||
Courtyard By Marriott San Francisco Downtown|MSB|0011I00000cJXVUQA4|SFOCD|a1W1I000000aWblUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJWMKQA4||Deflagged||
Courtyard By Marriott San Jose Airport|MSB|0011I00000cJXVUQA4|SJCCA|a1W1I000000aWbmUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJSNyQAO||Deflagged||
Delta Hotels by Marriott Philadelphia Airport|FS|0011I00000cJXoTQAW|PHLDE|a1W1I000000aWVoUAM|F|Delta Hotels and Resorts|NALO|East|0011I00000cJXxrQAG|0011I00000cJXxrQAG||Open||
Fairfield Inn & Suites Nashville Brentwood|MSB|0011I00000cJXVZQA4||a1W1I000000aWVpUAM|F|Fairfield Inn & Suites|NALO|East|0011I00000cJWnKQAW|0011I00000cJWnKQAW||Cancelled||
Courtyard By Marriott Raleigh Cary/Crossroads|MSB|0011I00000cJXaYQAW|RDUCX|a1W1I000000aWVqUAM|F|Courtyard By Marriott|NALO|East|0011I00000cJXaYQAW|0011I00000cJXaYQAW||Pre-Opening||
Courtyard By Marriott Phoenix NE/Desert Ridge|MSB|0011I00000cJXVUQA4|PHXCR|a1W1I000000aWVrUAM|M|Courtyard By Marriott|NALO|West||0011I00000cJWVjQAO||Pre-Opening||
Courtyard By Marriott Nanaimo Downtown|MSB|0011I00000cJScgQAG|YCDCY|a1W1I000000aWWwUAM|F|Courtyard By Marriott|NALO|Canada|0011I00000cJXu2QAG|0011I00000cJXu2QAG||Pre-Opening||
Element Silverthorne|MSB|0011I00000cJXhpQAG||a1W1I000000aWWxUAM|F|Element Hotels|NALO|West|0011I00000cJXhpQAG|0011I00000cJXhpQAG||Cancelled||
W San Diego|Luxury|0011I00000cJTjcQAG||a1W1I000000aWWyUAM|M|W Hotels|NALO|West||0011I00000cJXozQAG||Deflagged||
St. Regis Hotel Bahrain|Luxury|0011I00000cJTjcQAG||a1W1I000000aWWzUAM|M|St. Regis Hotels|INTL|APEC||0011I00000cJXgPQAW||Cancelled||
Sheraton Rittenhouse Square, an Environmental Hotel-Philadelphia|FS|0011I00000cJXb9QAG||a1W1I000000aWX0UAM|F|Sheraton Hotels|NALO|East||0011I00000cJXb9QAG||Deflagged||
Falls Church Marriott Fairview Park|FS|0011I00000cJXVUQA4|WASFP|a1W1I000000aWXvUAM|M|Marriott Hotels & Resorts|NALO|East||0011I000017AbUPQA0||Open||
Fort Collins Marriott|FS|0011I00000cJXnWQAW|FTCCO|a1W1I000000aWXwUAM|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJXaoQAG|0011I00000cJXaoQAG||Open||
Dallas/Fort Worth Airport Marriott|FS|0011I00000cJXqsQAG|DFWAP|a1W1I000000aWYLUA2|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJWMKQA4|0011I00000cJWMKQA4||Open||
Tucson I-10/Butterfield Business Park|MSB||TUSSF|a1W1I000000aWYMUA2|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
San Ramon Marriott|FS|0011I00000cJXVUQA4|OAKSR|a1W1I000000aWYqUAM|M|Marriott Hotels & Resorts|NALO|West||0011I00000cJSOcQAO||Open||
Marriott Downtown at CF Toronto Eaton Centre|FS|0011I00000cJXVUQA4|YYZEC|a1W1I000000aWYrUAM|M|Marriott Hotels & Resorts|NALO|Canada||0011I00000cJSOcQAO||Open||
Stamford Marriott Hotel & Spa|FS|0011I00000cJXoDQAW|STFCT|a1W1I000000aWZBUA2|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXgfQAG|0011I00000cJXgfQAG||Open||
Courtyard By Marriott Dallas Plano Parkway at Preston Road|MSB|0011I00000cJXVUQA4|DALPN|a1W1I000000aWZaUAM|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Residence Inn By Marriott Costa Mesa Newport Beach|MSB|0011I00000cJXVUQA4|CSMNB|a1W1I000000aWa2UAE|M|Residence Inn By Marriott|NALO|West||0011I00000cJXuyQAG||Open||
